"ticker","secid","tradedate","openprice","highestprice","lowestprice","closeprice","turnovervol","turnovervalue","accumadjfactor","isopen"
"600419","600419.SH","2019-03-25","17.53","17.95","17.4","17.42","4367948.0","7.7102839E7","2.752236","true"
"600419","600419.SH","2019-03-26","17.48","17.66","17.18","17.39","4431672.0","7.7059746E7","2.752236","true"
"600419","600419.SH","2019-03-27","17.48","18.0","17.12","17.9","6093039.0","1.07229863E8","2.752236","true"
"600419","600419.SH","2019-03-28","16.9","17.08","16.11","16.11","1.5741737E7","2.56908222E8","2.752236","true"
"600419","600419.SH","2019-03-29","15.8","16.13","15.34","16.12","1.0075527E7","1.582973E8","2.752236","true"
"600419","600419.SH","2018-03-27","40.24","40.24","40.24","40.24","0.0","0.0","1.368491","false"
"600419","600419.SH","2018-03-28","44.26","44.26","43.8","44.26","1944902.0","8.6072369E7","1.368491","true"
"600419","600419.SH","2018-03-29","44.29","47.37","43.81","45.07","2657225.0","1.2085725E8","1.368491","true"
"600419","600419.SH","2018-03-30","44.2","45.0","43.18","44.18","1351458.0","5.9627976E7","1.368491","true"
"600419","600419.SH","2018-04-02","43.6","44.25","43.6","43.88","910257.0","3.9977998E7","1.368491","true"
"600419","600419.SH","2018-04-03","43.58","43.58","42.21","42.49","787623.0","3.3657699E7","1.368491","true"
"600419","600419.SH","2018-04-04","42.35","43.49","42.35","42.82","534300.0","2.2922691E7","1.368491","true"
"600419","600419.SH","2018-04-09","42.78","42.8","41.4","42.14","664556.0","2.792171E7","1.368491","true"
"600419","600419.SH","2018-04-10","42.01","43.66","42.01","43.49","756924.0","3.2509477E7","1.368491","true"
"600419","600419.SH","2018-04-11","43.51","44.79","43.0","44.12","803104.0","3.5298635E7","1.368491","true"
"600419","600419.SH","2018-04-12","44.14","45.0","43.8","44.0","664792.0","2.9535639E7","1.368491","true"
"600419","600419.SH","2018-04-13","44.0","44.81","43.62","43.92","437000.0","1.9271808E7","1.368491","true"
"600419","600419.SH","2018-04-16","43.74","44.09","42.16","42.64","575600.0","2.461143E7","1.368491","true"
"600419","600419.SH","2018-04-17","43.08","43.08","41.4","41.64","404600.0","1.7015806E7","1.368491","true"
"600419","600419.SH","2018-04-18","41.68","42.01","40.0","41.23","702100.0","2.8639507E7","1.368491","true"
"600419","600419.SH","2018-04-19","41.2","42.99","41.15","42.76","673200.0","2.8597959E7","1.368491","true"
"600419","600419.SH","2018-04-20","42.4","42.5","40.19","40.72","690901.0","2.8857198E7","1.368491","true"
"600419","600419.SH","2018-04-23","40.96","40.96","39.18","39.78","503485.0000000001","2.0127139E7","1.368491","true"
"600419","600419.SH","2018-04-24","39.78","41.35","39.78","41.2","374707.0","1.5263619E7","1.368491","true"
"600419","600419.SH","2018-04-25","41.02","41.2","40.75","40.95","329015.0","1.3464664E7","1.368491","true"
"600419","600419.SH","2018-04-26","40.93","41.05","39.5","39.64","384229.0","1.542199E7","1.368491","true"
"600419","600419.SH","2018-04-27","40.25","40.25","38.73","38.87","799246.0","3.1326818E7","1.368491","true"
"600419","600419.SH","2018-05-02","39.17","40.3","38.75","40.27","828825.0","3.2881142E7","1.368491","true"
"600419","600419.SH","2018-05-03","39.21","41.2","39.21","40.93","792967.0","3.1906604E7","1.368491","true"
"600419","600419.SH","2018-05-04","40.85","41.79","40.55","41.39","690244.0","2.8578226E7","1.368491","true"
"600419","600419.SH","2018-05-07","42.0","42.48","41.28","42.38","865869.0","3.6399365E7","1.368491","true"
"600419","600419.SH","2018-05-08","42.41","43.0","41.71","42.04","860610.0","3.6269144E7","1.368491","true"
"600419","600419.SH","2018-05-09","42.2","42.61","41.85","42.35","415876.0","1.7595372E7","1.368491","true"
"600419","600419.SH","2018-05-10","43.2","45.18","42.35","43.38","1310600.0","5.7440217E7","1.368491","true"
"600419","600419.SH","2018-05-11","43.12","44.36","42.7","43.6","872054.9999999999","3.7891981E7","1.368491","true"
"600419","600419.SH","2018-05-14","43.51","45.0","43.31","44.78","1113441.0","4.946468E7","1.368491","true"
"600419","600419.SH","2018-05-15","44.5","46.3","44.03","46.05","1627311.0","7.3702311E7","1.368491","true"
"600419","600419.SH","2018-05-16","46.09","48.19","45.71","47.94","2293498.0","1.08219892E8","1.368491","true"
"600419","600419.SH","2018-05-17","47.6","47.87","46.45","46.74","1058060.0","4.9764281E7","1.368491","true"
"600419","600419.SH","2018-05-18","47.55","48.95","47.32","48.08","1664954.0","8.0135317E7","1.368491","true"
"600419","600419.SH","2018-05-21","48.81","49.5","47.81","48.57","1558322.0","7.5447137E7","1.368491","true"
"600419","600419.SH","2018-05-22","48.56","51.77","48.46","51.19","1853793.0","9.3869741E7","1.368491","true"
"600419","600419.SH","2018-05-23","51.2","51.74","50.03","51.29","1278028.0","6.5193211E7","1.368491","true"
"600419","600419.SH","2018-05-24","52.88","53.5","50.81","51.16","2340481.0","1.22213663E8","1.368491","true"
"600419","600419.SH","2018-05-25","50.3","51.27","49.11","50.52","1880889.0","9.440952E7","1.368491","true"
"600419","600419.SH","2018-05-28","25.12","26.6","24.35","24.68","2895605.0","7.2864277E7","2.752236","true"
"600419","600419.SH","2018-05-29","24.24","25.09","23.31","23.6","4841784.0","1.17588613E8","2.752236","true"
"600419","600419.SH","2018-05-30","23.4","24.65","23.0","23.79","4338826.0","1.04150104E8","2.752236","true"
"600419","600419.SH","2018-05-31","24.31","25.68","24.11","25.23","6477774.0","1.61561728E8","2.752236","true"
"600419","600419.SH","2018-06-01","24.85","25.49","23.9","24.35","4325248.0","1.06614235E8","2.752236","true"
"600419","600419.SH","2018-06-04","24.47","24.9","24.24","24.69","2822884.0","6.9398244E7","2.752236","true"
"600419","600419.SH","2018-06-05","24.68","25.65","24.55","25.43","3966614.0","1.00309759E8","2.752236","true"
"600419","600419.SH","2018-06-06","25.59","25.75","25.05","25.54","2511388.0","6.3889974E7","2.752236","true"
"600419","600419.SH","2018-06-07","25.72","25.72","24.85","25.04","2040438.0","5.1246112E7","2.752236","true"
"600419","600419.SH","2018-06-08","24.83","25.32","24.04","24.59","2134400.0","5.2556523E7","2.752236","true"
"600419","600419.SH","2018-06-11","24.58","24.58","23.39","23.73","2542610.0","6.0594478E7","2.752236","true"
"600419","600419.SH","2018-06-12","24.25","24.4","23.65","24.14","2569716.0","6.1776529E7","2.752236","true"
"600419","600419.SH","2018-06-13","23.98","24.05","22.69","22.75","3762078.0","8.7428142E7","2.752236","true"
"600419","600419.SH","2018-06-14","22.75","23.3","21.55","21.64","5097283.0","1.13609639E8","2.752236","true"
"600419","600419.SH","2018-06-15","21.84","22.08","21.2","21.61","2912896.0","6.3353347E7","2.752236","true"
"600419","600419.SH","2018-06-19","21.48","21.48","19.97","20.25","3265074.0","6.7447562E7","2.752236","true"
"600419","600419.SH","2018-06-20","20.1","20.98","20.1","20.59","2680564.0","5.5284207E7","2.752236","true"
"600419","600419.SH","2018-06-21","20.62","21.5","20.2","20.27","2585160.0","5.358179E7","2.752236","true"
"600419","600419.SH","2018-06-22","20.25","20.94","19.9","20.79","1580464.0","3.2662654E7","2.752236","true"
"600419","600419.SH","2018-06-25","21.0","21.3","19.9","20.01","3834613.0","7.7915503E7","2.752236","true"
"600419","600419.SH","2018-01-23","44.13","45.5","44.11","44.3","806417.0","3.6097954E7","1.368491","true"
"600419","600419.SH","2018-01-24","44.3","44.3","43.23","43.51","694150.0","3.0150906E7","1.368491","true"
"600419","600419.SH","2018-01-19","43.79","44.19","42.81","43.17","704557.0","3.0573508E7","1.368491","true"
"600419","600419.SH","2018-01-22","43.6","44.81","43.2","44.38","691163.0","3.0452817E7","1.368491","true"
"600419","600419.SH","2018-10-16","14.38","14.58","13.79","13.86","1811564.0","2.5689662E7","2.752236","true"
"600419","600419.SH","2018-10-17","14.1","14.2","13.4","13.78","1905353.0","2.6164796E7","2.752236","true"
"600419","600419.SH","2018-10-18","13.73","13.8","13.35","13.6","1249020.0","1.6879257E7","2.752236","true"
"600419","600419.SH","2018-11-23","15.0","15.03","14.21","14.28","2600700.0","3.7863041E7","2.752236","true"
"600419","600419.SH","2018-11-26","14.22","14.5","14.05","14.09","1475592.0","2.0961761E7","2.752236","true"
"600419","600419.SH","2018-11-27","14.17","14.38","14.03","14.2","1402251.0","1.9916479E7","2.752236","true"
"600419","600419.SH","2017-08-17","47.88","47.9","47.42","47.77","2.13486E7","1.0185322E10","1.368491","true"
"600419","600419.SH","2017-08-18","47.7","49.52","47.18","48.58","5.20696E7","2.5391674E10","1.368491","true"
"600419","600419.SH","2017-08-21","48.2","48.8","48.11","48.19","3.24402E7","1.571204E10","1.368491","true"
"600419","600419.SH","2017-08-22","48.5","48.71","48.0","48.27","1.86221E7","8.975732E9","1.368491","true"
"600419","600419.SH","2019-03-14","16.6","16.83","16.09","16.2","4774181.0","7.845193E7","2.752236","true"
"600419","600419.SH","2019-03-15","16.29","16.67","16.21","16.51","3591580.0000000005","5.920828E7","2.752236","true"
"600419","600419.SH","2019-03-18","16.5","17.17","16.27","16.98","6790764.0","1.14658166E8","2.752236","true"
"600419","600419.SH","2019-08-19","13.68","13.96","13.64","13.94","2602146.0","3.6046294E7","2.786766","true"
"600419","600419.SH","2019-08-20","13.95","14.09","13.82","13.86","1867300.0","2.6018007E7","2.786766","true"
"600419","600419.SH","2019-08-21","13.94","13.94","13.75","13.82","1674200.0","2.3133129E7","2.786766","true"
"600419","600419.SH","2019-08-22","13.82","13.91","13.72","13.91","1379406.0","1.9025389E7","2.786766","true"
"600419","600419.SH","2019-08-23","13.93","13.97","13.8","13.86","1450823.0","2.009894E7","2.786766","true"
