"ticker","secid","tradedate","openprice","highestprice","lowestprice","closeprice","turnovervol","turnovervalue","accumadjfactor","isopen"
"600446","600446.SH","2019-05-07","20.3","20.69","19.28","20.09","5.5163513E7","1.101923581E9","16.409536","true"
"600446","600446.SH","2019-05-08","19.49","20.92","19.4","20.12","3.904537E7","7.91157652E8","16.409536","true"
"600446","600446.SH","2019-05-09","20.0","20.59","19.81","20.08","3.1515658E7","6.38186047E8","16.409536","true"
"600446","600446.SH","2019-05-10","20.66","21.86","20.1","21.71","6.1323386E7","1.295047165E9","16.409536","true"
"600446","600446.SH","2003-12-25","16.01","16.05","15.45","15.52","2573624.0","4.0271893E7","1.0","true"
"600446","600446.SH","2003-12-24","16.11","16.5","15.96","16.13","7534973.0","1.22077235E8","1.0","false"
"600446","600446.SH","2004-01-07","17.2","17.36","16.9","17.0","1295393.0","2.2111206E7","1.0","true"
"600446","600446.SH","2003-12-26","15.48","16.73","15.44","16.2","2769401.0","4.501246E7","1.0","true"
"600446","600446.SH","2003-12-31","15.93","16.54","15.76","16.12","1347465.0","2.1943884E7","1.0","true"
"600446","600446.SH","2004-01-06","16.81","17.35","16.5","17.26","2072175.0","3.5002372E7","1.0","true"
"600446","600446.SH","2004-01-09","17.55","17.75","16.7","16.75","1596556.0","2.7470635000000004E7","1.0","true"
"600446","600446.SH","2003-12-30","16.18","16.19","15.78","16.06","920970.0","1.4684354E7","1.0","true"
"600446","600446.SH","2004-01-05","16.35","17.18","16.28","16.86","1878542.0","3.1499751E7","1.0","true"
"600446","600446.SH","2004-01-08","17.01","17.9","17.01","17.59","1973490.0","3.4714036E7","1.0","true"
"600446","600446.SH","2003-12-29","16.01","16.45","15.9","16.19","1100504.0","1.79022E7","1.0","true"
"600446","600446.SH","2004-01-02","16.08","16.51","16.03","16.19","919733.0","1.4997294E7","1.0","true"
"600446","600446.SH","2004-02-10","19.38","19.48","18.78","18.99","905049.0","1.7180979E7","1.0","true"
"600446","600446.SH","2004-02-13","19.18","20.31","19.16","19.79","1611778.0","3.1960844E7","1.0","true"
"600446","600446.SH","2004-02-04","19.31","19.4","18.6","18.79","3468044.9999999995","6.5688492E7","1.0","true"
"600446","600446.SH","2004-02-09","18.78","19.4","18.77","19.28","868952.0","1.6592351000000002E7","1.0","true"
"600446","600446.SH","2004-02-12","19.3","19.52","18.9","19.19","585952.0","1.1243573E7","1.0","true"
"600446","600446.SH","2004-02-17","20.5","21.55","20.38","20.7","2348097.0","4.9183008E7","1.0","true"
"600446","600446.SH","2004-02-06","19.1","19.48","18.75","18.82","1409618.0","2.6921164E7","1.0","true"
"600446","600446.SH","2004-02-11","18.99","19.67","18.81","19.25","881414.0","1.6977425E7","1.0","true"
"600446","600446.SH","2004-02-16","19.79","19.79","19.79","19.79","0.0","0.0","1.0","false"
"600446","600446.SH","2004-02-05","18.79","19.98","18.68","19.58","2165996.0","4.2206935E7","1.0","true"
"600446","600446.SH","2004-02-18","20.7","21.17","20.4","20.71","884811.0","1.8362412E7","1.0","true"
"600446","600446.SH","2004-02-23","23.18","23.18","21.51","21.6","2349587.0","5.2712812E7","1.0","true"
"600446","600446.SH","2004-02-26","22.18","22.2","20.51","20.63","1667855.0","3.5123701E7","1.0","true"
"600446","600446.SH","2004-02-20","21.4","21.4","20.8","21.09","609646.0","1.2846173E7","1.0","true"
"600446","600446.SH","2004-03-01","20.85","20.9","19.98","20.68","817212.0","1.6678016E7","1.0","true"
"600446","600446.SH","2004-02-25","21.8","22.99","21.69","22.07","1439374.0","3.2127395E7","1.0","true"
"600446","600446.SH","2004-02-19","20.73","21.6","20.7","21.22","1001825.0","2.1213605E7","1.0","true"
"600446","600446.SH","2004-02-27","20.63","21.1","20.41","20.86","878434.0","1.8196923000000004E7","1.0","true"
"600446","600446.SH","2004-02-24","21.41","21.85","21.0","21.83","970290.0","2.0751296E7","1.0","true"
"600446","600446.SH","2004-01-12","16.71","17.05","16.5","16.98","986696.0","1.6465423000000002E7","1.0","true"
"600446","600446.SH","2004-01-15","16.7","17.06","16.61","16.72","564025.0","9518855.0","1.0","true"
"600446","600446.SH","2004-01-30","17.23","17.25","16.63","16.66","751000.0","1.2713009E7","1.0","true"
"600446","600446.SH","2004-01-14","16.65","16.97","16.45","16.81","806751.0","1.3445464E7","1.0","true"
"600446","600446.SH","2004-02-03","16.86","18.55","16.8","18.55","2474661.0","4.5067267E7","1.0","true"
