"ticker","secid","tradedate","openprice","highestprice","lowestprice","closeprice","turnovervol","turnovervalue","accumadjfactor","isopen"
"600559","600559.SH","2019-01-02","12.45","12.65","12.36","12.4","3696283.0","4.6134395E7","5.157458","true"
"600559","600559.SH","2019-01-03","12.4","12.43","12.02","12.07","4464131.0","5.4228258E7","5.157458","true"
"600559","600559.SH","2019-01-04","11.9","12.58","11.85","12.56","5615463.0","6.91673E7","5.157458","true"
"600559","600559.SH","2019-01-07","12.59","12.72","12.49","12.67","4503016.0","5.678485E7","5.157458","true"
"600559","600559.SH","2019-01-08","12.65","12.7","12.41","12.57","2685954.0","3.3709849E7","5.157458","true"
"600559","600559.SH","2019-01-09","12.57","12.86","12.57","12.68","5917796.0","7.5422866E7","5.157458","true"
"600559","600559.SH","2019-01-10","12.58","12.74","12.55","12.74","3684221.0","4.6579276E7","5.157458","true"
"600559","600559.SH","2019-01-11","12.69","12.82","12.59","12.78","4164321.0","5.2981298E7","5.157458","true"
"600559","600559.SH","2019-01-14","12.79","12.8","12.62","12.63","2667740.0","3.3786866E7","5.157458","true"
"600559","600559.SH","2019-01-15","12.63","13.89","12.58","13.89","1.2308822E7","1.62897776E8","5.157458","true"
"600559","600559.SH","2019-01-16","13.88","13.88","13.46","13.63","1.3192971E7","1.79680878E8","5.157458","true"
"600559","600559.SH","2019-01-17","13.6","13.82","13.42","13.42","8855194.0","1.20189391E8","5.157458","true"
"600559","600559.SH","2019-01-18","13.42","13.9","13.42","13.68","1.1806342E7","1.61941636E8","5.157458","true"
"600559","600559.SH","2019-01-21","13.72","14.07","13.66","13.83","1.182319E7","1.63676421E8","5.157458","true"
"600559","600559.SH","2019-01-22","13.76","13.76","13.41","13.54","6004055.0","8.113505E7","5.157458","true"
"600559","600559.SH","2019-01-23","13.43","13.63","13.4","13.45","4456133.0","6.0174593E7","5.157458","true"
"600559","600559.SH","2019-01-24","13.48","13.72","13.48","13.58","5218857.0","7.0841083E7","5.157458","true"
"600559","600559.SH","2019-01-25","13.6","13.78","13.45","13.58","5820169.0","7.925016E7","5.157458","true"
"600559","600559.SH","2019-01-28","13.68","13.96","13.56","13.6","8862287.0","1.22076111E8","5.157458","true"
"600559","600559.SH","2019-01-29","13.6","13.6","13.05","13.41","7675046.000000001","1.02631609E8","5.157458","true"
"600559","600559.SH","2019-01-30","13.27","13.41","12.9","12.93","7579164.999999999","9.9393767E7","5.157458","true"
"600559","600559.SH","2019-01-31","13.14","13.95","13.12","13.62","1.4378054999999998E7","1.94448935E8","5.157458","true"
"600559","600559.SH","2019-02-01","13.7","13.84","13.51","13.81","1.0953027E7","1.49945795E8","5.157458","true"
"600559","600559.SH","2019-02-11","13.83","14.32","13.46","14.17","1.715109E7","2.38762814E8","5.157458","true"
"600559","600559.SH","2019-02-12","14.08","14.2","13.89","14.0","1.7241661E7","2.41478985E8","5.157458","true"
"600559","600559.SH","2019-02-13","14.03","14.23","13.95","14.15","1.4434717000000002E7","2.03347441E8","5.157458","true"
"600559","600559.SH","2019-02-14","14.15","14.6","14.06","14.43","1.652226E7","2.38394873E8","5.157458","true"
"600559","600559.SH","2019-02-15","14.4","14.66","14.31","14.34","1.2202261E7","1.76490268E8","5.157458","true"
"600559","600559.SH","2019-02-18","14.38","14.85","14.38","14.7","1.3322724E7","1.95362705E8","5.157458","true"
"600559","600559.SH","2019-02-19","14.69","14.82","14.28","14.5","1.0294185E7","1.49541149E8","5.157458","true"
"600559","600559.SH","2019-02-20","14.46","14.66","14.16","14.37","7517550.999999999","1.0815645E8","5.157458","true"
"600559","600559.SH","2019-02-21","14.29","14.44","14.14","14.19","8006217.999999999","1.14612602E8","5.157458","true"
"600559","600559.SH","2019-02-22","14.13","14.35","14.01","14.35","6239940.0","8.8801693E7","5.157458","true"
